glfsd_stock_id,agency_stock_id,agency_code,_lake,state_prov,manUnit,grid_10min,location_primary,location_secondary,latitude,longitude,year,month,day,stock_method,species_code,_strain,yearclass,life_stage,age_months,_clip,clip_efficiency,phys_chem_mark,tag_type,cwt_number,tag_retention,mean_length_mm,total_weight_kg,stocking_mortality,lot_code,hatchery_abbrev,number_stocked,notes
94326,5160,NYDEC,ON,NY,NO3,424,Dexter Falls,Black River,44.005278,-76.046111,2017,5,8,s,BNT,UNKN,2016,y,17,,,,,,,177,273,0,BT-16-RL1-CA-SR,SRFH,4130,Provided Lat/Long
94327,5161,NYDEC,ON,NY,NO3,424,Dexter Falls,Black River,44.005278,-76.046111,2017,6,7,s,BNT,UNKN,2016,y,18,,,,,,,190,369,0,BT-16-RL1-CA-SR,SRFH,5300,Provided Lat/Long
94328,5162,NYDEC,ON,NY,NO2,423,,Stony Point,43.880701,-76.254102,2017,5,16,b,BNT,UNKN,2016,y,18,,,,,,,177,1995,0,BT-16-RL1-CA-SR,SRFH,31350,Assigned Lat/Long
94329,5163,NYDEC,ON,NY,NO2,423,,Stony Point,43.880701,-76.254102,2017,5,16,b,BNT,UNKN,2016,y,18,,,,,,,177,893,0,BT-16-RL1-CA-SR,SRFH,14030,Assigned Lat/Long
94330,5164,NYDEC,ON,NY,NO2,523,Boat Launch,Stony Creek,43.824722,-76.229167,2017,5,8,s,BNT,UNKN,2016,y,17,,,,,,,177,164,0,BT-16-RL1-CA-SR,SRFH,2480,Provided Lat/Long
94331,5165,NYDEC,ON,NY,NO2,623,Selkirk Shores State Park,Selkirk,43.552356,-76.213844,2017,6,7,s,BNT,UNKN,2016,y,18,,,,,,,190,275,0,BT-16-RL1-CA-SR,SRFH,3950,Assigned Lat/Long
94332,5166,NYDEC,ON,NY,NO2,721,,Oswego,,,2017,5,18,s,BNT,UNKN,2016,y,18,,,,,,,177,1952,0,BT-16-RL1-CA-SR,SRFH,29700,
94333,5167,NYDEC,ON,NY,NO2,721,,Oswego,43.470556,-76.500417,2017,5,18,b,BNT,UNKN,2016,y,18,,,,,,,190,2295,0,BT-16-RL1-CA-SR,SRFH,29700,Provided Lat/Long
94334,5168,NYDEC,ON,NY,NO2,720,Fair Haven Beach State Park,Fair Haven,43.346944,-76.708472,2017,5,18,b,BNT,UNKN,2016,y,18,,,,,,,190,2223,0,BT-16-RL1-CA-SR,SRFH,29700,Provided Lat/Long
94335,5169,NYDEC,ON,NY,NO2,819,Off West Pier,Sodus,43.274326,-76.974326,2017,5,9,s,BNT,UNKN,2016,y,17,,,,,,,203,1690,0,BT-16-RL-RA-CA-RM,ROSFH,18000,Assigned Lat/Long
94336,5170,NYDEC,ON,NY,NO2,819,Off West Pier,Sodus,43.274326,-76.974326,2017,5,22,s,BNT,UNKN,2016,y,17,,,,,,,203,791,0,BT-16-RL-RA-CA-RM,ROSFH,8400,Assigned Lat/Long
94337,5171,NYDEC,ON,NY,NO1,817,Hughes Marina,Pultneyville,43.287778,-77.143056,2017,5,3,s,BNT,UNKN,2016,y,17,,,,,,,203,1411,0,BT-16-RL-RA-CA-RM,ROSFH,15000,Provided Lat/Long
94338,5172,NYDEC,ON,NY,NO1,817,Hughes Marina,Pultneyville,43.287778,-77.143056,2017,5,22,s,BNT,UNKN,2016,y,17,,,,,,,203,452,0,BT-16-RL-RA-CA-RM,ROSFH,4800,Provided Lat/Long
94339,5173,NYDEC,ON,NY,NO1,816,Joe Abraham Property,Webster,43.273611,-77.399583,2017,5,5,s,BNT,UNKN,2016,y,17,,,,,,,203,1438,0,BT-16-RL-RA-CA-RM,ROSFH,15000,Provided Lat/Long
94340,5174,NYDEC,ON,NY,NO1,816,Joe Abraham Property,Webster,43.273611,-77.399583,2017,5,24,s,BNT,UNKN,2016,y,17,,,,,,,203,679,0,BT-16-RL-RA-CA-RM,ROSFH,7280,Provided Lat/Long
94341,5175,NYDEC,ON,NY,NO1,815,Off Peter Frank Property,Irondequoit Bay,43.240439,-77.51694,2017,5,10,s,BNT,UNKN,2016,y,17,,,,,,,203,1475,0,BT-16-RL-RA-CA-RM,ROSFH,15000,Assigned Lat/Long
94342,5176,NYDEC,ON,NY,NO1,815,Off Peter Frank Property,Irondequoit Bay,43.240439,-77.51694,2017,5,24,s,BNT,UNKN,2016,y,17,,,,,,,203,679,0,BT-16-RL-RA-CA-RM,ROSFH,7280,Assigned Lat/Long
94343,5177,NYDEC,ON,NY,NO1,815,Kodak Water Plant,Rochester,43.275833,-77.640556,2017,5,15,s,BNT,UNKN,2016,y,17,,,,,,,203,1391,0,BT-16-RL-RA-CA-RM,ROSFH,15000,Provided Lat/Long
94344,5178,NYDEC,ON,NY,NO1,815,Kodak Water Plant,Rochester,43.275833,-77.640556,2017,5,25,s,BNT,UNKN,2016,y,17,,,,,,,203,703,0,BT-16-RL-RA-CA-RM,ROSFH,7280,Provided Lat/Long
94345,5179,NYDEC,ON,NY,NO1,815,Off Ontario Boulevard,Braddocks Bay,43.275833,-77.640556,2017,5,8,s,BNT,UNKN,2016,y,17,,,,,,,203,1453,0,BT-16-RL-RA-CA-RM,ROSFH,15000,Provided Lat/Long
94346,5180,NYDEC,ON,NY,NO1,815,Off Ontario Boulevard,Braddocks Bay,43.275833,-77.640556,2017,5,25,s,BNT,UNKN,2016,y,17,,,,,,,203,703,0,BT-16-RL-RA-CA-RM,ROSFH,7280,Provided Lat/Long
94347,5181,NYDEC,ON,NY,NO1,713,Hamlin Beach State Park,Hamlin,43.361848,-77.942603,2017,5,4,s,BNT,UNKN,2016,y,17,,,,,,,203,1472,0,BT-16-RL-RA-CA-RM,ROSFH,15000,Assigned Lat/Long
94348,5182,NYDEC,ON,NY,NO1,713,Hamlin Beach State Park,Hamlin,43.361848,-77.942603,2017,5,26,s,BNT,UNKN,2016,y,18,,,,,,,203,695,0,BT-16-RL-RA-CA-RM,ROSFH,7280,Assigned Lat/Long
94349,5183,NYDEC,ON,NY,NO1,711,,Point Breeze,43.370177,-78.183743,2017,5,12,s,BNT,UNKN,2016,y,18,,,,,,,177,1433,0,BT-16-RL1-CA-SR,SRFH,21650,Assigned Lat/Long
94350,5184,NYDEC,ON,NY,NO1,711,,Point Breeze,43.370177,-78.183743,2017,5,30,s,BNT,UNKN,2016,y,17,,,,,,,254,1517,0,BT-16-RL-(RA&CA)-CD,CSFH,8630,Assigned Lat/Long
94351,5185,NYDEC,ON,NY,NO1,708,Near Mouth,Eighteenmile Creek,43.339547,-78.719876,2017,5,23,s,BNT,UNKN,2016,y,17,,,,,,,177,1121,0,BT-16-RL-RA-CD-SR,SRFH,17800,Assigned Lat/Long
94352,5186,NYDEC,ON,NY,NO1,708,Near Mouth,Eighteenmile Creek,43.339547,-78.719876,2017,5,23,s,BNT,UNKN,2016,y,18,,,,,,,177,188,0,BT-16-RL1-CA-SR,SRFH,2830,Assigned Lat/Long
